No.1		
X[mm]	Z[um]	
0.000000	24.222002	
0.000300	24.158750	
0.000600	24.112064	
0.000900	24.059856	
0.001200	24.001122	
0.001500	23.931846	
0.001800	23.867088	
0.002100	23.803836	
0.002400	23.761166	
0.002700	23.716990	
0.003000	23.659260	
0.003300	23.579944	
0.003600	23.536772	
0.003900	23.482054	
0.004200	23.420810	
0.004500	23.371614	
0.004800	23.337980	
0.005100	23.298322	
0.005400	23.244106	
0.005700	23.182862	
0.006000	23.133666	
0.006300	23.089992	
0.006600	23.035274	
0.006900	22.980556	
0.007200	22.939894	
0.007500	22.893208	
0.007800	22.834976	
0.008100	22.788792	
0.008400	22.746122	
0.008700	22.702448	
0.009000	22.663292	
0.009300	22.627650	
0.009600	22.604558	
0.009900	22.594518	
0.010200	22.586988	
0.010500	22.578956	
0.010800	22.552350	
0.011100	22.509178	
0.011400	22.462994	
0.011700	22.410284	
0.012000	22.373638	
0.012300	22.340004	
0.012600	22.295326	
0.012900	22.253660	
0.013200	22.208982	
0.013500	22.163300	
0.013800	22.121132	
0.014100	22.076956	
0.014400	22.031776	
0.014700	21.994628	
0.015000	21.965512	
0.015300	21.932882	
0.015600	21.899248	
0.015900	21.872140	
0.016200	21.839510	
0.016500	21.800354	
0.016800	21.761198	
0.017100	21.725054	
0.017400	21.687404	
0.017700	21.653268	
0.018000	21.622646	
0.018300	21.600056	
0.018600	21.581984	
0.018900	21.559896	
0.019200	21.540318	
0.019500	21.529274	
0.019800	21.512206	
0.020100	21.483592	
0.020400	21.445942	
0.020700	21.407790	
0.021000	21.369638	
0.021300	21.330984	
0.021600	21.292832	
0.021900	21.259700	
0.022200	21.219038	
0.022500	21.171348	
0.022800	21.139220	
0.023100	21.102574	
0.023400	21.061912	
0.023700	21.017736	
0.024000	20.981090	
0.024300	20.939424	
0.024600	20.901272	
0.024900	20.864626	
0.025200	20.828482	
0.025500	20.789828	
0.025800	20.761214	
0.026100	20.754688	
0.026400	20.732098	
0.026700	20.699468	
0.027000	20.661316	
0.027300	20.632702	
0.027600	20.636718	
0.027900	20.674870	
0.028200	20.667340	
0.028500	20.634208	
0.028800	20.606598	
0.029100	20.599570	
0.029400	20.579490	
0.029700	20.587522	
0.030000	20.588024	
0.030300	20.559912	
0.030600	20.518748	
0.030900	20.476580	
0.031200	20.453990	
0.031500	20.436922	
0.031800	20.424372	
0.032100	20.410818	
0.032400	20.399272	
0.032700	20.391240	
0.033000	20.388730	
0.033300	20.387224	
0.033600	20.379694	
0.033900	20.372164	
0.034200	20.361120	
0.034500	20.341542	
0.034800	20.321462	
0.035100	20.305398	
0.035400	20.290840	
0.035700	20.270760	
0.036000	20.245158	
0.036300	20.214536	
0.036600	20.179898	
0.036900	20.138232	
0.037200	20.102590	
0.037500	20.082510	
0.037800	20.071968	
0.038100	20.063936	
0.038400	20.051386	
0.038700	20.029298	
0.039000	20.011728	
0.039300	20.000684	
0.039600	19.991146	
0.039900	19.963034	
0.040200	19.922372	
0.040500	19.878698	
0.040800	19.846068	
0.041100	19.821470	
0.041400	19.801390	
0.041700	19.785828	
0.042000	19.783318	
0.042300	19.852594	
0.042600	19.904300	
0.042900	19.887232	
0.043200	19.871670	
0.043500	19.856610	
0.043800	19.825988	
0.044100	19.816450	
0.044400	19.815446	
0.044700	19.791852	
0.045000	19.762234	
0.045300	19.732616	
0.045600	19.714042	
0.045900	19.688440	
0.046200	19.646272	
0.046500	19.615148	
0.046800	19.632718	
0.047100	19.615148	
0.047400	19.586032	
0.047700	19.562438	
0.048000	19.550390	
0.048300	19.549888	
0.048600	19.530812	
0.048900	19.482620	
0.049200	19.440452	
0.049500	19.399790	
0.049800	19.350594	
0.050100	19.349088	
0.050400	19.373686	
0.050700	19.353104	
0.051000	19.337040	
0.051300	19.293366	
0.051600	19.246178	
0.051900	19.268266	
0.052200	19.338546	
0.052500	19.307422	
0.052800	19.274792	
0.053100	19.228608	
0.053400	19.179914	
0.053700	19.125698	
0.054000	19.070478	
0.054300	19.029314	
0.054600	19.015760	
0.054900	19.060940	
0.055200	19.121180	
0.055500	19.193970	
0.055800	19.180918	
0.056100	19.134734	
0.056400	19.068470	
0.056700	19.002206	
0.057000	18.949998	
0.057300	18.894276	
0.057600	18.839056	
0.057900	18.779820	
0.058200	18.732632	
0.058500	18.703516	
0.058800	18.668878	
0.059100	18.633738	
0.059400	18.576008	
0.059700	18.548900	
0.060000	18.555928	
0.060300	18.540868	
0.060600	18.525306	
0.060900	18.515266	
0.061200	18.512756	
0.061500	18.564462	
0.061800	18.583538	
0.062100	18.548398	
0.062400	18.529824	
0.062700	18.513258	
0.063000	18.520788	
0.063300	18.551912	
0.063600	18.531330	
0.063900	18.491170	
0.064200	18.452516	
0.064500	18.403822	
0.064800	18.340068	
0.065100	18.265772	
0.065400	18.202520	
0.065700	18.133746	
0.066000	18.053426	
0.066300	17.968588	
0.066600	17.882746	
0.066900	17.822004	
0.067200	17.781844	
0.067500	17.754736	
0.067800	17.721102	
0.068100	17.673412	
0.068400	17.619698	
0.068700	17.573514	
0.069000	17.523314	
0.069300	17.472110	
0.069600	17.428938	
0.069900	17.366188	
0.070200	17.308960	
0.070500	17.278338	
0.070800	17.255748	
0.071100	17.220608	
0.071400	17.169906	
0.071700	17.106152	
0.072000	17.039888	
0.072300	17.008764	
0.072600	16.965090	
0.072900	16.929950	
0.073200	16.899328	
0.073500	16.875734	
0.073800	16.862682	
0.074100	16.852140	
0.074400	16.850634	
0.074700	16.849128	
0.075000	16.841096	
0.075300	16.838084	
0.075600	16.838586	
0.075900	16.846618	
0.076200	16.881256	
0.076500	16.912380	
0.076800	16.905854	
0.077100	16.906356	
0.077400	16.898826	
0.077700	16.873224	
0.078000	16.848626	
0.078300	16.822020	
0.078600	16.793908	
0.078900	16.769812	
0.079200	16.735676	
0.079500	16.707564	
0.079800	16.697524	
0.080100	16.688990	
0.080400	16.678950	
0.080700	16.669914	
0.081000	16.656862	
