No.1		
X[mm]	Z[um]	
0.000000	0.518064	
0.001300	0.518064	
0.002600	0.518566	
0.003900	0.518566	
0.005200	0.518566	
0.006500	0.518064	
0.007800	0.518566	
0.009100	0.518566	
0.010400	0.518566	
0.011700	0.518064	
0.013000	0.518064	
0.014300	0.518064	
0.015600	0.518064	
0.016900	0.518064	
0.018200	0.518064	
0.019500	0.518064	
0.020800	0.518064	
0.022100	0.518064	
0.023400	0.517562	
0.024700	0.517060	
0.026000	0.517562	
0.027300	0.517060	
0.028600	0.517060	
0.029900	0.517060	
0.031200	0.517060	
0.032500	0.517060	
0.033800	0.516558	
0.035100	0.516558	
0.036400	0.516558	
0.037700	0.516558	
0.039000	0.516558	
0.040300	0.516056	
0.041600	0.516558	
0.042900	0.516558	
0.044200	0.517060	
0.045500	0.516558	
0.046800	0.516558	
0.048100	0.516558	
0.049400	0.516558	
0.050700	0.516056	
0.052000	0.516056	
0.053300	0.516056	
0.054600	0.516056	
0.055900	0.515554	
0.057200	0.515554	
0.058500	0.515554	
0.059800	0.516056	
0.061100	0.515052	
0.062400	0.515052	
0.063700	0.514550	
0.065000	0.515052	
0.066300	0.515052	
0.067600	0.514550	
0.068900	0.514550	
0.070200	0.514048	
0.071500	0.514048	
0.072800	0.513546	
0.074100	0.513546	
0.075400	0.513546	
0.076700	0.513546	
0.078000	0.513044	
0.079300	0.513044	
0.080600	0.512542	
0.081900	0.512542	
0.083200	0.511538	
0.084500	0.511538	
0.085800	0.511036	
0.087100	0.510534	
0.088400	0.510032	
0.089700	0.509530	
0.091000	0.509530	
0.092300	0.509530	
0.093600	0.509028	
0.094900	0.508526	
0.096200	0.508526	
0.097500	0.508526	
0.098800	0.508526	
0.100100	0.508024	
0.101400	0.507522	
0.102700	0.507522	
0.104000	0.508024	
0.105300	0.507020	
0.106600	0.506518	
0.107900	0.506518	
0.109200	0.506016	
0.110500	0.505514	
0.111800	0.505514	
0.113100	0.505012	
0.114400	0.505012	
0.115700	0.504008	
0.117000	0.504008	
0.118300	0.504008	
0.119600	0.504008	
0.120900	0.504008	
0.122200	0.503506	
0.123500	0.503004	
0.124800	0.503004	
0.126100	0.503004	
0.127400	0.502502	
0.128700	0.502502	
0.130000	0.502502	
0.131300	0.503004	
0.132600	0.502502	
0.133900	0.502502	
0.135200	0.502502	
0.136500	0.502502	
0.137800	0.502000	
0.139100	0.501498	
0.140400	0.501498	
0.141700	0.500996	
0.143000	0.500494	
0.144300	0.499992	
0.145600	0.499992	
0.146900	0.499992	
0.148200	0.499490	
0.149500	0.498988	
0.150800	0.498988	
0.152100	0.498988	
0.153400	0.498988	
0.154700	0.498486	
0.156000	0.498486	
0.157300	0.498988	
0.158600	0.498988	
0.159900	0.498988	
0.161200	0.497482	
0.162500	0.497482	
0.163800	0.496980	
0.165100	0.496478	
0.166400	0.495976	
0.167700	0.495976	
0.169000	0.495976	
0.170300	0.495474	
