,A2,,,A9,,,B3,,,B4,,C1,C2,C4,C5,è„,â∫
0.2,1092926.6,,0.2,3064279,,0.2,192694.2,,0.2,22517.4,,456324.4,7840.7,419335.5,1973056.5,2081658.2,131693.4
0.204,1148894.2,,0.204,3083967,,0.204,199053.1,,0.204,19030.2,,482583.3,8953.9,426365.2,2007303,2096732.5,158992.7
0.208,1212664.2,,0.208,3182569.2,,0.208,208797.4,,0.208,17249.5,,475954.3,9364.8,440652.8,2089565.4,2114969,186645.3
0.212,1259486.6,,0.212,3212846.8,,0.212,217170.2,,0.212,16096.8,,499353.4,9768.6,460880.1,2150510.5,2124279,223201
0.216,1289662.6,,0.216,3245429,,0.216,228595.1,,0.216,15612.2,,485555.2,9905.3,473988.9,2211296,2146166.2,255923.9
0.22,1327468.8,,0.22,3320230.2,,0.22,238809.9,,0.22,14974.4,,522921.6,10222.4,488459.5,2237535.8,2159903,295287.1
0.224,1359298.2,,0.224,3392364.2,,0.224,248653.2,,0.224,14695.9,,526790,10348.9,507695.1,2317387.8,2167219.2,338742
0.228,1378597.4,,0.228,3461929.2,,0.228,258542,,0.228,14404,,537145.8,10542.6,526158.9,2372116.2,2186121.8,381174.7
0.232,1394371.5,,0.232,3490117.5,,0.232,269520.5,,0.232,14071.4,,551782.3,11105.2,532008.6,2447907,2185038,410639.6
0.236,1431232.5,,0.236,3553920.2,,0.236,278130.4,,0.236,13850.9,,548870.7,11612.4,540114.5,2468518.2,2207345,450765.4
0.24,1429682.5,,0.24,3583643.8,,0.24,288062,,0.24,13783.2,,558694.6,12132.5,570489.3,2541357.2,2215791.2,497661.8
0.244,1435918.1,,0.244,3662183.8,,0.244,295693.9,,0.244,13996.8,,551774.9,12769.8,575767.1,2603458,2226555.2,542880.3
0.248,1458696.6,,0.248,3693373.5,,0.248,304279,,0.248,14738.7,,552277.1,13442.5,602350.5,2669439.8,2242286,593410.4
0.252,1480062.5,,0.252,3819398.8,,0.252,312457.1,,0.252,16326.4,,580426.4,14258.4,607423.2,2710430.5,2241226.8,652577.2
0.256,1518447,,0.256,3753167.2,,0.256,318639.6,,0.256,21898.1,,565396.5,15187.7,625515.9,2780815.8,2248281.8,698199.6
0.26,1533172.4,,0.26,3872689.2,,0.26,324864.4,,0.26,33664.6,,575446.8,15501,642334.6,2809215.5,2268904.2,753968.4
0.264,1562288,,0.264,3955766.8,,0.264,335207.3,,0.264,55805.6,,568743.8,16358.5,647247.6,2863592,2274331.2,811776.7
0.268,1578843.4,,0.268,3943040.8,,0.268,340585.5,,0.268,89301,,583841.2,17238.3,674886.2,2927465.5,2281623,871899.2
0.272,1588003.4,,0.272,4060382.8,,0.272,346640.7,,0.272,137960.4,,599446.2,18432.7,681683.3,2973902,2273358.5,942708.5
0.276,1604129.6,,0.276,4220119,,0.276,352177.1,,0.276,199415.4,,590701.8,23045.1,685068.6,2996011.2,2291995.8,1004944.5
0.28,1618302,,0.28,4225550.5,,0.28,360200.8,,0.28,272640.1,,596199.4,37116.7,709602.1,3066189.2,2303960.5,1064984.6
0.284,1620912.4,,0.284,4155707.5,,0.284,366617.7,,0.284,354001.5,,605315.1,62762,712825.6,3090931,2304720.8,1123267.5
0.288,1619832.9,,0.288,4346162,,0.288,377196.8,,0.288,422910.1,,617798,100979.8,731659.4,3092870,2310260.8,1187306.1
0.292,1631155,,0.292,4412989,,0.292,384147.9,,0.292,513629.4,,639659.8,146785.5,740951.6,3169131.5,2326176.5,1245910.5
0.296,1636312.2,,0.296,4504801.5,,0.296,390766.7,,0.296,604253.6,,637322.2,192126.9,743085.1,3226520,2323485.8,1301523.9
0.3,1644229,,0.3,4587888.5,,0.3,399324.5,,0.3,694538.4,,638048.6,229317.6,767608,3244265,2334248.8,1362241.8
0.304,1649277.2,,0.304,4671988,,0.304,382307.5,,0.304,796320.8,,641598.8,260505.6,767435.7,3292044,2329108.2,1417992.5
0.308,1653565.5,,0.308,4809534.5,,0.308,387516.5,,0.308,874391.2,,650738.7,286009.9,778658.4,3326990.5,2346918.8,1473230.6
0.312,1654116.4,,0.312,4750514.5,,0.312,392875.7,,0.312,955276,,662982.7,305299.9,789944.5,3354826.8,2338824.5,1535256.2
0.316,1656510,,0.316,4936300,,0.316,391964.4,,0.316,1026698.4,,662303.9,319861.2,792374.1,3384749,2357491.2,1577502.8
0.32,1661689.4,,0.32,5014043.5,,0.32,392411.6,,0.32,1080362.2,,653269.8,330060.7,798930.1,3393582.2,2349149.5,1635311
0.324,1659492.5,,0.324,4909811.5,,0.324,395767.3,,0.324,1144804.8,,669939.4,334313.4,815479.2,3446772.5,2354781.5,1683210.8
0.328,1673111.9,,0.328,5091380.5,,0.328,399815.5,,0.328,1178841.9,,679323.5,335793.8,826032.6,3458630.5,2358613,1727867.9
0.332,1688244.4,,0.332,5087894.5,,0.332,404009.6,,0.332,1211284.5,,663725.9,336104.8,826837.2,3481500,2364284,1778496.4
0.336,1706803.2,,0.336,5130215.5,,0.336,411043.5,,0.336,1236808.6,,688432.8,336344,856902.2,3484847.2,2364644.5,1822951.5
0.34,1720395.2,,0.34,5170240.5,,0.34,408216.4,,0.34,1250552.9,,694776.2,338699.7,841707.4,3517097.5,2364836,1867491.4
0.344,1746161.5,,0.344,5309843,,0.344,409335,,0.344,1262045.1,,695035.3,341504.8,854505.4,3527354.8,2370740.8,1910036.1
0.348,1757555.4,,0.348,5461333.5,,0.348,414029.2,,0.348,1287689.8,,699111,342370.4,865641.4,3529474.8,2380449.2,1958084.9
0.352,1773398.2,,0.352,5527847,,0.352,414411.9,,0.352,1297926.1,,710626.6,345323.1,879100.2,3547063,2391676.2,2002890
