C1		バックグラウンド		理論プロファイル	
2θ(°)	強度(Counts)	2θ(°)	強度(Counts)	2θ(°)	強度(Counts)
0.2	693658.8	0.2	1.786711E-05	0.2	1641101
0.202	708001.4	0.202	1.786711E-05	0.202	1640672
0.204	703572.6	0.204	1.786711E-05	0.204	1640216
0.206	732558.1	0.206	1.786711E-05	0.206	1639733
0.208	744347.5	0.208	1.786711E-05	0.208	1639220
0.21	734681.1	0.21	1.786711E-05	0.21	1638677
0.212	733879.7	0.212	1.786711E-05	0.212	1638103
0.214	764088.4	0.214	1.786711E-05	0.214	1637496
0.216	766087.7	0.216	1.786711E-05	0.216	1636857
0.218	789437.1	0.218	1.786711E-05	0.218	1636183
0.22	774439.9	0.22	1.786711E-05	0.22	1635476
0.222	800279.1	0.222	1.786711E-05	0.222	1634735
0.224	794377.6	0.224	1.786711E-05	0.224	1633959
0.226	804096.8	0.226	1.786711E-05	0.226	1633150
0.228	828169.3	0.228	1.786711E-05	0.228	1632308
0.23	842213.8	0.23	1.786711E-05	0.23	1631434
0.232	880589.8	0.232	1.786711E-05	0.232	1630529
0.234	904390.6	0.234	1.786711E-05	0.234	1629595
0.236	900724.1	0.236	1.786711E-05	0.236	1628633
0.238	963158.9	0.238	1.786711E-05	0.238	1627645
0.24	1000273	0.24	1.786711E-05	0.24	1626633
0.242	1040394	0.242	1.786711E-05	0.242	1625599
0.244	1052064	0.244	1.786711E-05	0.244	1624545
0.246	1090858	0.246	1.786711E-05	0.246	1623473
0.248	1069279	0.248	1.786711E-05	0.248	1622385
0.25	1097697	0.25	1.786711E-05	0.25	1621282
0.252	1134336	0.252	1.786711E-05	0.252	1620167
0.254	1085087	0.254	1.786711E-05	0.254	1619040
0.256	1114926	0.256	1.786711E-05	0.256	1617904
0.258	1166368	0.258	1.786711E-05	0.258	1616759
0.26	1159683	0.26	1.786711E-05	0.26	1615606
0.262	1132648	0.262	1.786711E-05	0.262	1614447
0.264	1165014	0.264	1.786711E-05	0.264	1613281
0.266	1209786	0.266	1.786711E-05	0.266	1612110
0.268	1209191	0.268	1.786711E-05	0.268	1610934
0.27	1248855	0.27	1.786711E-05	0.27	1609753
0.272	1233925	0.272	1.786711E-05	0.272	1608567
0.274	1265235	0.274	1.786711E-05	0.274	1607378
0.276	1328934	0.276	1.786711E-05	0.276	1606184
0.278	1320753	0.278	1.786711E-05	0.278	1604987
0.28	1336994	0.28	1.786711E-05	0.28	1603785
0.282	1343637	0.282	1.786711E-05	0.282	1602579
0.284	1318964	0.284	1.786711E-05	0.284	1601370
0.286	1350863	0.286	1.786711E-05	0.286	1600157
0.288	1346572	0.288	1.786711E-05	0.288	1598939
0.29	1381235	0.29	1.786711E-05	0.29	1597718
0.292	1360430	0.292	1.786711E-05	0.292	1596493
0.294	1341497	0.294	1.786711E-05	0.294	1595263
0.296	1421025	0.296	1.786711E-05	0.296	1594030
0.298	1403129	0.298	1.786711E-05	0.298	1592792
0.3	1354935	0.3	1.786711E-05	0.3	1591551
0.302	1417457	0.302	1.786711E-05	0.302	1590305
0.304	1429137	0.304	1.786711E-05	0.304	1589054
0.306	1370477	0.306	1.786711E-05	0.306	1587800
0.308	1386562	0.308	1.786711E-05	0.308	1586541
0.31	1409516	0.31	1.786711E-05	0.31	1585277
0.312	1433382	0.312	1.786711E-05	0.312	1584009
0.314	1441324	0.314	1.786711E-05	0.314	1582737
0.316	1429432	0.316	1.786711E-05	0.316	1581459
0.318	1398470	0.318	1.786711E-05	0.318	1580177
0.32	1450008	0.32	1.786711E-05	0.32	1578890
0.322	1459852	0.322	1.786711E-05	0.322	1577599
0.324	1459261	0.324	1.786711E-05	0.324	1576302
0.326	1459163	0.326	1.786711E-05	0.326	1575001
0.328	1440716	0.328	1.786711E-05	0.328	1573695
0.33	1420252	0.33	1.786711E-05	0.33	1572383
0.332	1427552	0.332	1.786711E-05	0.332	1571066
0.334	1401856	0.334	1.786711E-05	0.334	1569744
0.336	1442915	0.336	1.786711E-05	0.336	1568417
0.338	1443136	0.338	1.786711E-05	0.338	1567085
0.34	1444473	0.34	1.786711E-05	0.34	1565747
0.342	1456942	0.342	1.786711E-05	0.342	1564403
0.344	1456731	0.344	1.786711E-05	0.344	1563054
0.346	1484522	0.346	1.786711E-05	0.346	1561700
0.348	1450951	0.348	1.786711E-05	0.348	1560339
0.35	1463034	0.35	1.786711E-05	0.35	1558973
0.352	1483926	0.352	1.786711E-05	0.352	1557601
0.354	1523994	0.354	1.786711E-05	0.354	1556223
0.356	1471809	0.356	1.786711E-05	0.356	1554839
0.358	1482735	0.358	1.786711E-05	0.358	1553449
0.36	1499132	0.36	1.786711E-05	0.36	1552052
0.362	1477197	0.362	1.786711E-05	0.362	1550650
0.364	1509464	0.364	1.786711E-05	0.364	1549241
0.366	1514204	0.366	1.786711E-05	0.366	1547826
0.368	1493175	0.368	1.786711E-05	0.368	1546404
0.37	1532545	0.37	1.786711E-05	0.37	1544975
0.372	1525642	0.372	1.786711E-05	0.372	1543540
0.374	1519005	0.374	1.786711E-05	0.374	1542098
0.376	1552383	0.376	1.786711E-05	0.376	1540650
0.378	1579803	0.378	1.786711E-05	0.378	1539194
0.38	1547598	0.38	1.786711E-05	0.38	1537731
0.382	1571876	0.382	1.786711E-05	0.382	1536261
0.384	1606020	0.384	1.786711E-05	0.384	1534784
0.386	1586883	0.386	1.786711E-05	0.386	1533299
0.388	1541640	0.388	1.786711E-05	0.388	1531808
0.39	1575300	0.39	1.786711E-05	0.39	1530308
0.392	1591401	0.392	1.786711E-05	0.392	1528801
0.394	1592839	0.394	1.786711E-05	0.394	1527286
0.396	1616291	0.396	1.786711E-05	0.396	1525763
0.398	1560716	0.398	1.786711E-05	0.398	1524233
0.4	1575867	0.4	1.786711E-05	0.4	1522694
0.402	1561517	0.402	1.786711E-05	0.402	1521147
0.404	1596368	0.404	1.786711E-05	0.404	1519592
0.406	1574331	0.406	1.786711E-05	0.406	1518028
0.408	1599181	0.408	1.786711E-05	0.408	1516456
0.41	1598390	0.41	1.786711E-05	0.41	1514875
0.412	1609009	0.412	1.786711E-05	0.412	1513286
0.414	1559883	0.414	1.786711E-05	0.414	1511688
0.416	1593387	0.416	1.786711E-05	0.416	1510080
0.418	1575308	0.418	1.786711E-05	0.418	1508464
0.42	1558143	0.42	1.786711E-05	0.42	1506838
0.422	1556706	0.422	1.786711E-05	0.422	1505203
0.424	1539866	0.424	1.786711E-05	0.424	1503558
0.426	1542784	0.426	1.786711E-05	0.426	1501904
0.428	1542184	0.428	1.786711E-05	0.428	1500240
0.43	1539891	0.43	1.786711E-05	0.43	1498566
0.432	1517715	0.432	1.786711E-05	0.432	1496882
0.434	1575337	0.434	1.786711E-05	0.434	1495188
0.436	1541896	0.436	1.786711E-05	0.436	1493483
0.438	1545629	0.438	1.786711E-05	0.438	1491768
0.44	1502341	0.44	1.786711E-05	0.44	1490042
0.442	1560611	0.442	1.786711E-05	0.442	1488305
0.444	1550229	0.444	1.786711E-05	0.444	1486558
0.446	1518973	0.446	1.786711E-05	0.446	1484799
0.448	1521205	0.448	1.786711E-05	0.448	1483029
0.45	1547748	0.45	1.786711E-05	0.45	1481247
0.452	1518080	0.452	1.786711E-05	0.452	1479454
0.454	1508301	0.454	1.786711E-05	0.454	1477649
0.456	1521914	0.456	1.786711E-05	0.456	1475832
0.458	1526490	0.458	1.786711E-05	0.458	1474003
0.46	1545163	0.46	1.786711E-05	0.46	1472161
0.462	1489857	0.462	1.786711E-05	0.462	1470307
0.464	1514177	0.464	1.786711E-05	0.464	1468440
