No.1		
X[mm]	Z[um]	
0.000000	0.023594	
0.000700	0.023594	
0.001400	0.023092	
0.002100	0.023092	
0.002800	0.023594	
0.003500	0.023594	
0.004200	0.023092	
0.004900	0.023092	
0.005600	0.023092	
0.006300	0.023092	
0.007000	0.023092	
0.007700	0.022590	
0.008400	0.022590	
0.009100	0.022590	
0.009800	0.022590	
0.010500	0.022590	
0.011200	0.022590	
0.011900	0.022590	
0.012600	0.022590	
0.013300	0.022590	
0.014000	0.022590	
0.014700	0.022590	
0.015400	0.022590	
0.016100	0.022590	
0.016800	0.022590	
0.017500	0.022088	
0.018200	0.022088	
0.018900	0.022088	
0.019600	0.022088	
0.020300	0.022088	
0.021000	0.021586	
0.021700	0.021586	
0.022400	0.021586	
0.023100	0.021586	
0.023800	0.021586	
0.024500	0.021084	
0.025200	0.021084	
0.025900	0.021084	
0.026600	0.021084	
0.027300	0.021084	
0.028000	0.020582	
0.028700	0.020582	
0.029400	0.021084	
0.030100	0.023594	
0.030800	0.022088	
0.031500	0.020582	
0.032200	0.020582	
0.032900	0.020582	
0.033600	0.020582	
0.034300	0.020080	
0.035000	0.020582	
0.035700	0.020582	
0.036400	0.020582	
0.037100	0.020582	
0.037800	0.020080	
0.038500	0.020080	
0.039200	0.020080	
0.039900	0.020080	
0.040600	0.020080	
0.041300	0.020080	
0.042000	0.019578	
0.042700	0.019578	
0.043400	0.020080	
0.044100	0.019578	
0.044800	0.019578	
0.045500	0.019578	
0.046200	0.019578	
0.046900	0.019578	
0.047600	0.019076	
0.048300	0.019076	
0.049000	0.019076	
0.049700	0.019076	
0.050400	0.019578	
0.051100	0.018574	
0.051800	0.018574	
0.052500	0.018574	
0.053200	0.018574	
0.053900	0.018072	
0.054600	0.018072	
0.055300	0.018072	
0.056000	0.018072	
0.056700	0.018072	
0.057400	0.017570	
0.058100	0.017570	
0.058800	0.017570	
0.059500	0.018072	
0.060200	0.018072	
0.060900	0.017570	
0.061600	0.017570	
0.062300	0.017570	
0.063000	0.017570	
0.063700	0.017570	
0.064400	0.017068	
0.065100	0.017068	
0.065800	0.017068	
0.066500	0.017068	
0.067200	0.016566	
0.067900	0.016566	
0.068600	0.016566	
0.069300	0.016566	
0.070000	0.016566	
0.070700	0.016064	
0.071400	0.016566	
0.072100	0.016064	
0.072800	0.016064	
0.073500	0.016064	
0.074200	0.015562	
0.074900	0.016064	
0.075600	0.016064	
0.076300	0.016064	
0.077000	0.015562	
0.077700	0.015562	
0.078400	0.015562	
0.079100	0.015562	
0.079800	0.015562	
0.080500	0.015060	
0.081200	0.015060	
0.081900	0.015060	
0.082600	0.015562	
0.083300	0.016064	
0.084000	0.015562	
0.084700	0.016566	
0.085400	0.016064	
0.086100	0.016064	
0.086800	0.016566	
0.087500	0.016064	
0.088200	0.015562	
0.088900	0.015562	
0.089600	0.015562	
0.090300	0.015060	
0.091000	0.015060	
0.091700	0.015060	
0.092400	0.015562	
0.093100	0.015060	
0.093800	0.014558	
0.094500	0.014558	
0.095200	0.014558	
0.095900	0.014558	
0.096600	0.014558	
0.097300	0.014558	
0.098000	0.017068	
0.098700	0.017570	
0.099400	0.016064	
0.100100	0.014558	
0.100800	0.014558	
0.101500	0.015060	
0.102200	0.015562	
0.102900	0.015060	
0.103600	0.014056	
0.104300	0.014056	
0.105000	0.014056	
0.105700	0.014056	
0.106400	0.013554	
0.107100	0.013554	
0.107800	0.013554	
0.108500	0.014056	
0.109200	0.014558	
0.109900	0.015060	
0.110600	0.015562	
0.111300	0.016064	
0.112000	0.015562	
0.112700	0.015562	
0.113400	0.015060	
0.114100	0.015060	
0.114800	0.015562	
0.115500	0.015060	
0.116200	0.015060	
0.116900	0.014056	
0.117600	0.013554	
0.118300	0.013052	
0.119000	0.013052	
0.119700	0.012550	
0.120400	0.013554	
0.121100	0.014056	
0.121800	0.012550	
0.122500	0.012550	
0.123200	0.013052	
0.123900	0.014056	
0.124600	0.013554	
0.125300	0.013052	
0.126000	0.013052	
0.126700	0.012048	
0.127400	0.011044	
0.128100	0.011044	
0.128800	0.011546	
0.129500	0.012048	
0.130200	0.012048	
0.130900	0.012550	
0.131600	0.011546	
0.132300	0.011546	
0.133000	0.013052	
0.133700	0.012550	
0.134400	0.012550	
0.135100	0.011546	
0.135800	0.011044	
0.136500	0.010040	
0.137200	0.011044	
0.137900	0.011044	
0.138600	0.010040	
0.139300	0.009538	
0.140000	0.009036	
0.140700	0.009036	
0.141400	0.009036	
0.142100	0.009036	
0.142800	0.009036	
0.143500	0.008534	
0.144200	0.008534	
0.144900	0.008534	
0.145600	0.008534	
0.146300	0.008534	
0.147000	0.008032	
0.147700	0.008032	
0.148400	0.008032	
0.149100	0.008032	
0.149800	0.007530	
0.150500	0.007530	
0.151200	0.007530	
0.151900	0.007530	
0.152600	0.007530	
0.153300	0.007028	
0.154000	0.007028	
0.154700	0.007028	
0.155400	0.007530	
0.156100	0.007530	
0.156800	0.007028	
0.157500	0.007028	
0.158200	0.007028	
0.158900	0.007028	
0.159600	0.007028	
0.160300	0.006526	
0.161000	0.006526	
0.161700	0.006526	
0.162400	0.006526	
0.163100	0.006024	
0.163800	0.006024	
0.164500	0.006024	
0.165200	0.006024	
0.165900	0.006526	
0.166600	0.006024	
0.167300	0.006024	
0.168000	0.006024	
0.168700	0.006024	
0.169400	0.006024	
0.170100	0.005522	
0.170800	0.005522	
0.171500	0.005522	
0.172200	0.005522	
0.172900	0.005522	
0.173600	0.005020	
0.174300	0.005020	
0.175000	0.005522	
0.175700	0.005522	
0.176400	0.005020	
0.177100	0.005020	
0.177800	0.005020	
0.178500	0.005020	
0.179200	0.005522	
0.179900	0.005020	
0.180600	0.005522	
0.181300	0.005522	
0.182000	0.005522	
0.182700	0.005522	
0.183400	0.005020	
0.184100	0.005020	
0.184800	0.005020	
0.185500	0.005020	
0.186200	0.004518	
0.186900	0.004518	
0.187600	0.005020	
0.188300	0.005020	
0.189000	0.005020	
0.189700	0.004518	
0.190400	0.004518	
0.191100	0.004518	
0.191800	0.004518	
0.192500	0.004518	
0.193200	0.004016	
0.193900	0.004518	
0.194600	0.004016	
0.195300	0.004518	
0.196000	0.004016	
0.196700	0.004016	
0.197400	0.004016	
0.198100	0.004016	
0.198800	0.004016	
0.199500	0.003514	
0.200200	0.004016	
0.200900	0.004016	
0.201600	0.004016	
0.202300	0.004016	
0.203000	0.004016	
0.203700	0.004016	
0.204400	0.004016	
0.205100	0.004016	
0.205800	0.004016	
0.206500	0.003514	
0.207200	0.003514	
0.207900	0.003514	
0.208600	0.003514	
0.209300	0.003012	
0.210000	0.003012	
0.210700	0.003012	
0.211400	0.003012	
0.212100	0.003012	
0.212800	0.002510	
0.213500	0.002510	
0.214200	0.002510	
0.214900	0.002510	
0.215600	0.002510	
0.216300	0.002008	
0.217000	0.002008	
0.217700	0.002008	
0.218400	0.002008	
0.219100	0.002008	
0.219800	0.001506	
0.220500	0.001506	
0.221200	0.001506	
0.221900	0.001506	
0.222600	0.001004	
0.223300	0.001004	
0.224000	0.001004	
0.224700	0.001004	
0.225400	0.001004	
0.226100	0.000502	
0.226800	0.001004	
0.227500	0.001004	
0.228200	0.001004	
0.228900	0.001004	
0.229600	0.000502	
0.230300	0.000502	
0.231000	0.000502	
0.231700	0.000502	
0.232400	0.000502	
0.233100	0.000502	
0.233800	0.000502	
0.234500	0.000502	
0.235200	0.000502	
0.235900	0.000000	
0.236600	0.000000	
0.237300	0.000000	
0.238000	0.000000	
0.238700	0.000000	
0.239400	0.000000	
0.240100	0.000000	
0.240800	0.000000	
0.241500	0.000000	
0.242200	0.000000	
0.242900	0.000000	
0.243600	0.000000	
0.244300	0.000502	
0.245000	0.000000	
0.245700	0.000000	
0.246400	0.000502	
0.247100	0.001004	
