No.1		
X[mm]	Z[um]	
0.000000	0.046686	
0.000700	0.048694	
0.001400	0.048192	
0.002100	0.047188	
0.002800	0.047690	
0.003500	0.048192	
0.004200	0.048694	
0.004900	0.049196	
0.005600	0.049698	
0.006300	0.049698	
0.007000	0.049196	
0.007700	0.048192	
0.008400	0.047188	
0.009100	0.046184	
0.009800	0.045682	
0.010500	0.046184	
0.011200	0.046686	
0.011900	0.047188	
0.012600	0.046686	
0.013300	0.046184	
0.014000	0.045682	
0.014700	0.044678	
0.015400	0.044678	
0.016100	0.044678	
0.016800	0.044678	
0.017500	0.044678	
0.018200	0.044678	
0.018900	0.044678	
0.019600	0.043674	
0.020300	0.043172	
0.021000	0.042670	
0.021700	0.040160	
0.022400	0.040662	
0.023100	0.041164	
0.023800	0.041164	
0.024500	0.040662	
0.025200	0.039658	
0.025900	0.039156	
0.026600	0.039156	
0.027300	0.038654	
0.028000	0.038152	
0.028700	0.040662	
0.029400	0.040662	
0.030100	0.040160	
0.030800	0.040160	
0.031500	0.039658	
0.032200	0.039156	
0.032900	0.038654	
0.033600	0.038152	
0.034300	0.037650	
0.035000	0.037650	
0.035700	0.037650	
0.036400	0.037148	
0.037100	0.037148	
0.037800	0.036646	
0.038500	0.036646	
0.039200	0.036646	
0.039900	0.036144	
0.040600	0.035642	
0.041300	0.035642	
0.042000	0.035140	
0.042700	0.034638	
0.043400	0.034638	
0.044100	0.035140	
0.044800	0.035140	
0.045500	0.035140	
0.046200	0.035140	
0.046900	0.034638	
0.047600	0.034136	
0.048300	0.033132	
0.049000	0.032630	
0.049700	0.033132	
0.050400	0.033132	
0.051100	0.033634	
0.051800	0.033132	
0.052500	0.032128	
0.053200	0.031626	
0.053900	0.031124	
0.054600	0.031124	
0.055300	0.031124	
0.056000	0.031626	
0.056700	0.031626	
0.057400	0.031626	
0.058100	0.031124	
0.058800	0.030622	
0.059500	0.030120	
0.060200	0.030120	
0.060900	0.029618	
0.061600	0.030120	
0.062300	0.030622	
0.063000	0.031124	
0.063700	0.031124	
0.064400	0.030622	
0.065100	0.029618	
0.065800	0.029116	
0.066500	0.029116	
0.067200	0.029116	
0.067900	0.028614	
0.068600	0.028614	
0.069300	0.028112	
0.070000	0.028112	
0.070700	0.028112	
0.071400	0.027108	
0.072100	0.026606	
0.072800	0.026606	
0.073500	0.026104	
0.074200	0.025602	
0.074900	0.025602	
0.075600	0.025100	
0.076300	0.025100	
0.077000	0.025100	
0.077700	0.025100	
0.078400	0.024096	
0.079100	0.023594	
0.079800	0.023092	
0.080500	0.023092	
0.081200	0.022590	
0.081900	0.022590	
0.082600	0.022590	
0.083300	0.023092	
0.084000	0.023092	
0.084700	0.022590	
0.085400	0.022088	
0.086100	0.022088	
0.086800	0.021586	
0.087500	0.021586	
0.088200	0.021084	
0.088900	0.020582	
0.089600	0.020582	
0.090300	0.020080	
0.091000	0.018072	
0.091700	0.017570	
0.092400	0.017570	
0.093100	0.017068	
0.093800	0.016566	
0.094500	0.016064	
0.095200	0.016064	
0.095900	0.016064	
0.096600	0.015562	
0.097300	0.015562	
0.098000	0.015060	
0.098700	0.014558	
0.099400	0.017068	
0.100100	0.016566	
0.100800	0.017068	
0.101500	0.017068	
0.102200	0.017068	
0.102900	0.017068	
0.103600	0.017068	
0.104300	0.017068	
0.105000	0.017068	
0.105700	0.017068	
0.106400	0.016566	
0.107100	0.016566	
0.107800	0.015562	
0.108500	0.015060	
0.109200	0.015562	
0.109900	0.016064	
0.110600	0.015562	
0.111300	0.015060	
0.112000	0.014558	
0.112700	0.014558	
