No.1		
X[mm]	Z[um]	
0.000000	-0.013554	
0.000400	-0.013554	
0.000800	-0.013554	
0.001200	-0.012550	
0.001600	-0.013052	
0.002000	-0.012550	
0.002400	-0.012048	
0.002800	-0.012550	
0.003200	-0.012048	
0.003600	-0.012550	
0.004000	-0.012550	
0.004400	-0.012550	
0.004800	-0.012048	
0.005200	-0.011546	
0.005600	-0.011546	
0.006000	-0.012048	
0.006400	-0.011546	
0.006800	-0.011546	
0.007200	-0.011044	
0.007600	-0.011044	
0.008000	-0.011546	
0.008400	-0.011546	
0.008800	-0.011546	
0.009200	-0.011044	
0.009600	-0.011044	
0.010000	-0.011044	
0.010400	-0.010542	
0.010800	-0.011044	
0.011200	-0.010040	
0.011600	-0.010542	
0.012000	-0.010542	
0.012400	-0.010040	
0.012800	-0.010542	
0.013200	-0.010040	
0.013600	-0.010040	
0.014000	-0.010040	
0.014400	-0.010040	
0.014800	-0.010040	
0.015200	-0.009538	
0.015600	-0.009538	
0.016000	-0.009538	
0.016400	-0.010040	
0.016800	-0.009538	
0.017200	-0.009538	
0.017600	-0.009036	
0.018000	-0.009538	
0.018400	-0.009538	
0.018800	-0.009036	
0.019200	-0.009036	
0.019600	-0.009036	
0.020000	-0.009538	
0.020400	-0.009036	
0.020800	-0.009538	
0.021200	-0.009036	
0.021600	-0.009036	
0.022000	-0.009036	
0.022400	-0.009036	
0.022800	-0.009036	
0.023200	-0.008534	
0.023600	-0.008534	
0.024000	-0.008534	
0.024400	-0.008534	
0.024800	-0.008534	
0.025200	-0.008534	
0.025600	-0.008534	
0.026000	-0.008534	
0.026400	-0.008534	
0.026800	-0.008534	
0.027200	-0.008032	
0.027600	-0.008032	
0.028000	-0.008534	
0.028400	-0.008534	
0.028800	-0.008032	
0.029200	-0.008032	
0.029600	-0.008032	
0.030000	-0.008032	
0.030400	-0.008032	
0.030800	-0.008032	
0.031200	-0.008032	
0.031600	-0.008032	
0.032000	-0.008032	
0.032400	-0.008032	
0.032800	-0.007530	
0.033200	-0.008032	
0.033600	-0.007530	
0.034000	-0.007530	
0.034400	-0.007530	
0.034800	-0.007530	
0.035200	-0.007530	
0.035600	-0.007028	
0.036000	-0.007530	
0.036400	-0.007028	
0.036800	-0.007530	
0.037200	-0.007028	
0.037600	-0.007028	
0.038000	-0.007028	
0.038400	-0.007028	
0.038800	-0.007028	
0.039200	-0.006526	
0.039600	-0.007028	
0.040000	-0.006526	
0.040400	-0.007028	
0.040800	-0.006526	
0.041200	-0.006526	
0.041600	-0.006024	
0.042000	-0.006526	
0.042400	-0.006526	
0.042800	-0.006024	
0.043200	-0.006024	
0.043600	-0.005522	
0.044000	-0.006024	
0.044400	-0.006024	
0.044800	-0.005522	
0.045200	-0.006024	
0.045600	-0.005020	
0.046000	-0.006024	
0.046400	-0.005522	
0.046800	-0.005522	
0.047200	-0.005522	
0.047600	-0.005020	
0.048000	-0.006024	
0.048400	-0.005020	
0.048800	-0.005020	
0.049200	-0.005020	
0.049600	-0.004518	
0.050000	-0.005522	
0.050400	-0.004518	
0.050800	-0.005020	
0.051200	-0.004518	
0.051600	-0.004518	
0.052000	-0.005522	
0.052400	-0.004518	
0.052800	-0.005020	
0.053200	-0.004016	
0.053600	-0.004518	
0.054000	-0.004016	
0.054400	-0.004518	
0.054800	-0.004016	
0.055200	-0.004016	
0.055600	-0.003514	
0.056000	-0.003514	
0.056400	-0.004016	
0.056800	-0.003514	
0.057200	-0.004016	
0.057600	-0.003012	
0.058000	-0.003514	
0.058400	-0.003514	
0.058800	-0.004016	
0.059200	-0.003514	
0.059600	-0.003012	
0.060000	-0.003514	
0.060400	-0.003012	
0.060800	-0.003514	
0.061200	-0.003012	
0.061600	-0.003514	
0.062000	-0.002510	
0.062400	-0.003514	
0.062800	-0.003012	
0.063200	-0.002510	
0.063600	-0.003012	
0.064000	-0.002510	
0.064400	-0.003012	
0.064800	-0.002510	
0.065200	-0.002510	
0.065600	-0.002510	
0.066000	-0.002008	
0.066400	-0.002510	
0.066800	-0.002510	
0.067200	-0.002510	
0.067600	-0.002008	
0.068000	-0.002008	
0.068400	-0.002510	
0.068800	-0.002008	
0.069200	-0.002510	
0.069600	-0.001506	
0.070000	-0.002008	
0.070400	-0.002008	
0.070800	-0.002008	
0.071200	-0.002008	
0.071600	-0.001506	
0.072000	-0.002008	
0.072400	-0.002008	
0.072800	-0.002510	
0.073200	-0.001506	
0.073600	-0.002008	
0.074000	-0.001506	
0.074400	-0.002008	
0.074800	-0.001506	
0.075200	-0.001506	
0.075600	-0.001506	
0.076000	-0.001506	
0.076400	-0.001506	
0.076800	-0.001506	
0.077200	-0.002008	
0.077600	-0.001506	
0.078000	-0.001506	
0.078400	-0.001506	
0.078800	-0.001506	
0.079200	-0.001506	
0.079600	-0.001506	
0.080000	-0.001506	
0.080400	-0.001506	
0.080800	-0.001506	
0.081200	-0.001004	
0.081600	-0.001506	
0.082000	-0.001004	
0.082400	-0.001506	
0.082800	-0.001506	
0.083200	-0.001004	
0.083600	-0.001004	
0.084000	-0.001004	
0.084400	-0.001506	
0.084800	-0.001004	
0.085200	-0.001004	
0.085600	-0.000502	
0.086000	-0.000502	
0.086400	-0.001004	
0.086800	-0.001004	
0.087200	-0.001004	
0.087600	-0.000502	
0.088000	-0.000502	
0.088400	-0.001004	
0.088800	-0.000502	
0.089200	-0.000502	
0.089600	-0.000502	
0.090000	-0.000502	
0.090400	-0.000502	
0.090800	-0.000502	
0.091200	-0.000502	
0.091600	-0.000502	
0.092000	-0.000502	
0.092400	-0.000502	
0.092800	-0.000502	
0.093200	0.000000	
0.093600	-0.000502	
0.094000	-0.000502	
0.094400	-0.000502	
0.094800	-0.000502	
0.095200	0.000000	
0.095600	-0.000502	
0.096000	0.000000	
0.096400	-0.000502	
0.096800	-0.000502	
0.097200	-0.000502	
0.097600	0.000000	
0.098000	0.000000	
0.098400	-0.000502	
0.098800	0.000000	
0.099200	0.000000	
0.099600	0.000000	
0.100000	0.000000	
0.100400	-0.000502	
0.100800	-0.000502	
0.101200	-0.000502	
0.101600	0.000000	
0.102000	0.000000	
0.102400	-0.000502	
0.102800	-0.000502	
0.103200	0.000000	
0.103600	0.000000	
0.104000	0.000000	
0.104400	-0.000502	
0.104800	-0.000502	
0.105200	0.000000	
0.105600	-0.000502	
0.106000	0.000000	
0.106400	-0.000502	
0.106800	-0.000502	
0.107200	-0.000502	
0.107600	-0.000502	
0.108000	0.000000	
0.108400	-0.000502	
0.108800	-0.000502	
0.109200	0.000000	
0.109600	0.000000	
0.110000	0.000000	
0.110400	-0.000502	
0.110800	-0.000502	
0.111200	0.000000	
0.111600	0.000000	
0.112000	0.000000	
0.112400	-0.000502	
0.112800	-0.000502	
0.113200	0.000000	
0.113600	0.000000	
0.114000	0.000000	
0.114400	-0.000502	
0.114800	0.000000	
0.115200	0.000000	
0.115600	0.000000	
0.116000	0.000000	
0.116400	-0.000502	
0.116800	0.000000	
0.117200	0.000502	
0.117600	0.000502	
0.118000	0.000000	
0.118400	0.000000	
0.118800	0.000000	
0.119200	0.000000	
0.119600	0.000502	
0.120000	0.000502	
0.120400	0.000000	
0.120800	0.000000	
0.121200	0.000502	
0.121600	0.000502	
0.122000	0.000502	
0.122400	0.000000	
0.122800	0.000502	
0.123200	0.000502	
0.123600	0.000502	
0.124000	0.000502	
0.124400	0.000000	
0.124800	0.000502	
0.125200	0.000502	
0.125600	0.000502	
0.126000	0.000502	
0.126400	0.000000	
0.126800	0.000000	
0.127200	0.000000	
0.127600	0.000000	
0.128000	0.000000	
0.128400	0.000000	
0.128800	0.000000	
0.129200	0.000000	
0.129600	0.000000	
0.130000	0.000000	
0.130400	0.000000	
0.130800	0.000000	
0.131200	0.000000	
0.131600	0.000000	
0.132000	0.000000	
0.132400	-0.000502	
0.132800	0.000000	
0.133200	0.000000	
0.133600	0.000000	
0.134000	0.000000	
0.134400	-0.000502	
0.134800	0.000000	
0.135200	0.000000	
0.135600	0.000000	
0.136000	0.000502	
0.136400	0.000000	
0.136800	0.000000	
0.137200	0.000502	
0.137600	0.000502	
0.138000	0.000502	
0.138400	0.000000	
0.138800	0.000502	
0.139200	0.000502	
0.139600	0.000502	
0.140000	0.001004	
0.140400	0.000502	
0.140800	0.000502	
0.141200	0.001004	
0.141600	0.001004	
0.142000	0.001004	
0.142400	0.000502	
0.142800	0.000502	
0.143200	0.001004	
0.143600	0.000502	
0.144000	0.001004	
0.144400	0.000502	
0.144800	0.000502	
0.145200	0.000502	
0.145600	0.001004	
0.146000	0.001004	
0.146400	0.000502	
0.146800	0.001004	
0.147200	0.000502	
0.147600	0.001004	
0.148000	0.001004	
0.148400	0.000502	
0.148800	0.001004	
0.149200	0.000502	
0.149600	0.001004	
0.150000	0.001004	
0.150400	0.000502	
0.150800	0.000502	
0.151200	0.000502	
0.151600	0.001004	
0.152000	0.001004	
0.152400	0.000502	
0.152800	0.001004	
0.153200	0.001004	
0.153600	0.001506	
0.154000	0.001004	
